d,s,m,param_count
5,3,2,761
10,3,2,1341
10,6,2,1905
10,6,4,2577
10,9,2,2793
10,9,4,4287
10,9,6,5781
10,9,8,7275
15,3,2,1921
15,6,2,2515
15,6,4,3187
15,9,2,3433
15,9,4,4927
15,9,6,6421
15,9,8,7915
15,12,2,4675
15,12,4,7315
15,12,6,9955
15,12,8,12595
15,12,10,15235
20,3,2,2501
20,6,2,3125
20,6,4,3797
20,9,2,4073
20,9,4,5567
20,9,6,7061
20,9,8,8555
20,12,2,5345
20,12,4,7985
20,12,6,10625
20,12,8,13265
20,12,10,15905
20,15,2,6941
20,15,4,11051
20,15,6,15161
20,15,8,19271
20,15,10,23381
20,15,12,27491
20,15,14,31601
20,18,2,8861
