d,s,m,param_count
25,24,6,35391
25,24,8,45855
30,3,2,3661
30,6,2,4345
30,6,4,5017
30,9,2,5353
30,9,4,6847
30,9,6,8341
30,9,8,9835
30,12,2,6685
30,12,4,9325
30,12,6,11965
30,12,8,14605
30,12,10,17245
30,15,2,8341
30,15,4,12451
30,15,6,16561
30,15,8,20671
30,15,10,24781
30,15,12,28891
30,15,14,33001
30,18,2,10321
30,18,4,16225
30,18,6,22129
30,18,8,28033
30,18,10,33937
30,18,12,39841
30,18,14,45745
30,21,2,12625
30,21,4,20647
30,21,6,28669
30,21,8,36691
30,21,10,44713
30,24,2,15253
30,24,4,25717
30,24,6,36181
30,27,2,18205
30,27,4,31435
30,27,6,44665
